Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CHG_PCT_1D,VOLATILITY_30D
12/30/1927,17.66,17.66,17.66,17.66,#N/A N/A,#N/A N/A
1/3/1928,17.76,17.76,17.76,17.76,0.57,#N/A N/A
1/4/1928,17.72,17.72,17.72,17.72,-0.23,#N/A N/A
1/5/1928,17.55,17.55,17.55,17.55,-0.96,#N/A N/A
1/6/1928,17.66,17.66,17.66,17.66,0.63,#N/A N/A
1/9/1928,17.5,17.5,17.5,17.5,-0.91,#N/A N/A
1/10/1928,17.37,17.37,17.37,17.37,-0.74,#N/A N/A
1/11/1928,17.35,17.35,17.35,17.35,-0.12,#N/A N/A
1/12/1928,17.47,17.47,17.47,17.47,0.69,#N/A N/A
1/13/1928,17.58,17.58,17.58,17.58,0.63,#N/A N/A
1/16/1928,17.29,17.29,17.29,17.29,-1.65,#N/A N/A
1/17/1928,17.3,17.3,17.3,17.3,0.06,#N/A N/A
1/18/1928,17.26,17.26,17.26,17.26,-0.23,#N/A N/A
1/19/1928,17.38,17.38,17.38,17.38,0.7,#N/A N/A
1/20/1928,17.48,17.48,17.48,17.48,0.58,#N/A N/A
1/23/1928,17.64,17.64,17.64,17.64,0.92,#N/A N/A
1/24/1928,17.71,17.71,17.71,17.71,0.4,#N/A N/A
1/25/1928,17.52,17.52,17.52,17.52,-1.07,#N/A N/A
1/26/1928,17.63,17.63,17.63,17.63,0.63,#N/A N/A
1/27/1928,17.69,17.69,17.69,17.69,0.34,#N/A N/A
1/30/1928,17.49,17.49,17.49,17.49,-1.13,#N/A N/A
1/31/1928,17.57,17.57,17.57,17.57,0.46,#N/A N/A
2/1/1928,17.53,17.53,17.53,17.53,-0.23,#N/A N/A
2/2/1928,17.63,17.63,17.63,17.63,0.57,#N/A N/A
2/3/1928,17.4,17.4,17.4,17.4,-1.3,#N/A N/A
2/6/1928,17.45,17.45,17.45,17.45,0.29,#N/A N/A
2/7/1928,17.44,17.44,17.44,17.44,-0.06,12.01
2/8/1928,17.49,17.49,17.49,17.49,0.29,11.82
2/9/1928,17.55,17.55,17.55,17.55,0.34,11.66
2/10/1928,17.54,17.54,17.54,17.54,-0.06,11.51
2/13/1928,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.51
2/14/1928,17.44,17.44,17.44,17.44,-0.57,11.61
2/15/1928,17.4,17.4,17.4,17.4,-0.23,11.27
2/16/1928,17.35,17.35,17.35,17.35,-0.29,11.1
2/17/1928,17.04,17.04,17.04,17.04,-1.79,12.05
2/20/1928,16.95,16.95,16.95,16.95,-0.53,11.95
2/21/1928,17.11,17.11,17.11,17.11,0.94,12.36
2/22/1928,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.36
2/23/1928,17.13,17.13,17.13,17.13,0.12,12.17
2/24/1928,17.18,17.18,17.18,17.18,0.29,11.12
2/27/1928,17.11,17.11,17.11,17.11,-0.41,11.18
2/28/1928,17.16,17.16,17.16,17.16,0.29,11.21
2/29/1928,17.26,17.26,17.26,17.26,0.58,11.15
3/1/1928,17.3,17.3,17.3,17.3,0.23,11.01
3/2/1928,17.3,17.3,17.3,17.3,0,10.58
3/5/1928,17.57,17.57,17.57,17.57,1.56,11.64
3/6/1928,17.67,17.67,17.67,17.67,0.57,11.27
3/7/1928,17.58,17.58,17.58,17.58,-0.51,11.23
3/8/1928,17.64,17.64,17.64,17.64,0.34,11.23
3/9/1928,17.93,17.93,17.93,17.93,1.64,11.72
3/12/1928,18,18,18,18,0.39,11.7
3/13/1928,17.92,17.92,17.92,17.92,-0.44,11.78
3/14/1928,17.93,17.93,17.93,17.93,0.06,11.68
3/15/1928,18.07,18.07,18.07,18.07,0.78,11
3/16/1928,18.26,18.26,18.26,18.26,1.05,11.34
3/19/1928,18.36,18.36,18.36,18.36,0.55,11.38
3/20/1928,18.46,18.46,18.46,18.46,0.54,11.43
3/21/1928,18.65,18.65,18.65,18.65,1.03,11.71
3/22/1928,18.6,18.6,18.6,18.6,-0.27,11.77
3/23/1928,18.78,18.78,18.78,18.78,0.97,11.71
3/26/1928,19.05,19.05,19.05,19.05,1.44,12.02
3/27/1928,18.94,18.94,18.94,18.94,-0.58,12.21
3/28/1928,18.89,18.89,18.89,18.89,-0.26,12.2
3/29/1928,18.95,18.95,18.95,18.95,0.32,10.23
3/30/1928,19.28,19.28,19.28,19.28,1.74,10.6
4/2/1928,18.91,18.91,18.91,18.91,-1.92,12.76
4/3/1928,19.02,19.02,19.02,19.02,0.58,12.75
4/4/1928,18.99,18.99,18.99,18.99,-0.16,12.62
4/5/1928,19.23,19.23,19.23,19.23,1.26,12.9
4/6/1928,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.9
4/9/1928,19.27,19.27,19.27,19.27,0.21,12.91
4/10/1928,19.1,19.1,19.1,19.1,-0.88,13.49
4/11/1928,19.44,19.44,19.44,19.44,1.78,14.14
4/12/1928,19.41,19.41,19.41,19.41,-0.15,14.19
4/13/1928,19.73,19.73,19.73,19.73,1.65,14.26
4/16/1928,19.68,19.68,19.68,19.68,-0.25,14.39
4/17/1928,19.52,19.52,19.52,19.52,-0.81,14.6
4/18/1928,19.52,19.52,19.52,19.52,0,14.65
4/19/1928,19.63,19.63,19.63,19.63,0.56,14.11
4/20/1928,19.34,19.34,19.34,19.34,-1.48,15.14
4/23/1928,19.15,19.15,19.15,19.15,-0.98,15.47
4/24/1928,19.25,19.25,19.25,19.25,0.52,15.49
4/25/1928,19.33,19.33,19.33,19.33,0.42,15.41
4/26/1928,19.47,19.47,19.47,19.47,0.72,15.27
4/27/1928,19.68,19.68,19.68,19.68,1.08,15.46
