Date, Open, High, Low, Close
09/09/85, 188.25, 188.75, 188.00, 188.25
09/06/85, 188.24, 188.37, 187.37, 188.24
09/05/85, 187.27, 187.52, 186.90, 187.27
09/04/85, 187.37, 187.87, 187.00, 187.37
09/03/85, 187.91, 188.53, 187.41, 187.91
08/30/85, 188.63, 189.13, 188.00, 188.63
08/29/85, 188.93, 188.93, 188.43, 188.93
08/28/85, 188.83, 188.83, 187.96, 188.83
08/27/85, 188.10, 188.10, 187.35, 188.10
08/26/85, 187.31, 187.44, 186.56, 187.31
08/23/85, 187.17, 187.29, 186.67, 187.17
08/22/85, 187.36, 189.11, 187.24, 187.36
08/21/85, 189.16, 189.16, 188.16, 189.16
08/20/85, 188.08, 188.21, 186.46, 188.08
08/19/85, 186.38, 186.64, 186.39, 186.38
08/16/85, 186.10, 186.10, 186.10, 186.10
08/15/85, 187.26, 187.63, 186.63, 187.26
08/14/85, 187.41, 187.78, 187.41, 187.41
08/13/85, 187.30, 188.05, 186.55, 187.30
08/12/85, 187.63, 188.25, 187.50, 187.63
08/09/85, 188.32, 188.94, 188.19, 188.32
08/08/85, 188.95, 188.95, 187.70, 188.95
08/07/85, 187.68, 187.93, 187.43, 187.68
08/06/85, 187.93, 190.68, 187.93, 187.93
08/05/85, 190.62, 191.37, 190.00, 190.62
08/02/85, 191.48, 192.10, 191.35, 191.48
08/01/85, 192.11, 192.11, 190.99, 192.11
07/31/85, 190.92, 191.29, 190.04, 190.92
07/30/85, 189.93, 189.93, 189.31, 189.93
07/29/85, 189.60, 192.35, 189.60, 189.60
07/26/85, 192.40, 192.78, 191.65, 192.40
07/25/85, 192.06, 192.19, 191.19, 192.06
07/24/85, 191.58, 192.46, 190.71, 191.58
07/23/85, 192.55, 194.93, 192.30, 192.55
07/22/85, 194.35, 194.35, 193.60, 194.35
07/19/85, 195.13, 195.13, 194.38, 195.13
07/18/85, 194.38, 195.63, 194.38, 194.38
07/17/85, 195.65, 196.03, 194.78, 195.65
07/16/85, 194.72, 194.72, 192.72, 194.72
07/15/85, 192.72, 193.72, 192.59, 192.72
07/12/85, 193.29, 193.29, 192.67, 193.29
07/11/85, 192.94, 192.94, 192.31, 192.94
07/10/85, 192.37, 192.37, 191.00, 192.37
07/09/85, 191.05, 191.93, 190.93, 191.05
